t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
8.267150,0.00530790,,,,,,
8.299902,-0.02839965,,,,,,
8.333208,-0.03919102,,,,,,
8.366868,-0.03919102,,,,,,
8.399850,0.01796502,,,,,,
8.433132,-0.02280412,,,,,,
8.466719,-0.02280412,,,,,,
8.499909,-0.08555569,,,,,,
8.533221,-0.08555569,,,,,,
8.566772,-0.00774891,,,,,,
8.599828,0.01263479,,,,,,
8.633203,0.01263479,,,,,,
8.666577,-0.05624463,,,,,,
8.699893,0.00837269,,,,,,
8.733206,0.00837269,,,,,,
8.766663,-0.06463792,,,,,,
8.801731,-0.06823504,,,,,,
8.833228,-0.06823504,,,,,,
8.866552,-0.09075154,,,,,,
8.899879,-0.07263327,,,,,,
8.933268,-0.07263327,,,,,,
8.966563,-0.05118143,,,,,,
8.999777,0.01849735,,,,,,
9.034542,0.01849735,,,,,,
9.066557,0.04394425,,,,,,
9.100848,0.04394425,,,,,,
9.133202,0.05393800,,,,,,
9.166548,0.06512906,,,,,,
9.199907,0.06512906,,,,,,
9.233240,-0.04785134,,,,,,
9.266567,0.01263479,,,,,,
9.299991,0.01263479,,,,,,
9.333250,-0.01174572,,,,,,
9.366593,-0.05317983,,,,,,
9.399935,-0.05317983,,,,,,
9.433342,0.00584022,,,,,,
9.466536,-0.04212317,,,,,,
9.500197,-0.04212317,,,,,,
9.533220,-0.08941985,,,,,,
9.567244,-0.01707421,,,,,,
9.599899,-0.01707421,,,,,,
9.633233,0.04807544,,,,,,
9.666559,0.02249415,,,,,,
9.699917,0.02249415,,,,,,
9.733242,-0.09541506,,,,,,
9.766528,-0.06517199,,,,,,
9.799916,-0.06517199,,,,,,
9.833211,-0.05331422,,,,,,
9.866496,-0.06677071,,,,,,
9.899843,-0.06677071,,,,,,
9.933222,-0.05438062,,,,,,
9.966420,-0.06437263,,,,,,
9.999843,-0.06437263,,,,,,
10.033206,0.05167257,,,,,,
10.066571,0.05167257,,,,,,
10.099866,0.02369319,,,,,,
10.133224,-0.01720860,,,,,,
10.166631,-0.01720860,,,,,,
10.199897,-0.09101857,,,,,,
10.233226,-0.11473411,,,,,,
10.266565,-0.11473411,,,,,,
10.299894,-0.10527442,,,,,,
10.333266,-0.00415179,,,,,,
10.366556,-0.00415179,,,,,,
10.399900,-0.02826700,,,,,,
10.433196,-0.06930144,,,,,,
10.466563,-0.06930144,,,,,,
10.500717,-0.00295275,,,,,,
10.533164,0.06459498,,,,,,
10.566566,0.06459498,,,,,,
10.599900,0.07338970,,,,,,
10.633195,-0.18987577,,,,,,
10.666586,-0.18987577,,,,,,
10.699896,0.35623950,,,,,,
10.733250,-0.06463792,,,,,,
10.766665,-0.06463792,,,,,,
10.799924,0.01969639,,,,,,
10.833194,0.00677397,,,,,,
10.867406,0.00677397,,,,,,
10.899872,0.02609128,,,,,,
10.933286,0.02609128,,,,,,
10.966657,0.00144374,,,,,,
10.999994,0.00397621,,,,,,
11.033249,0.00397621,,,,,,
11.066677,-0.00295275,,,,,,
11.099885,0.00304246,,,,,,
